Category ID,Category Name,Retail Name,Retail Price
8,冷凍食品_冰品_各式冰品_冰棒,義美紅豆粉粿牛奶冰棒,79
8,冷凍食品_冰品_各式冰品_冰棒,家樂福超值紅豆枝仔冰棒-375g,29
8,冷凍食品_冰品_各式冰品_冰棒,家樂福超值梅子枝仔冰棒-375g,29
8,冷凍食品_冰品_各式冰品_冰棒,杜老爺曠世奇派-巧克力-73gx4,115
8,冷凍食品_冰品_各式冰品_冰棒,義美鳳梨冰棒,79
8,冷凍食品_冰品_各式冰品_冰棒,百吉棒棒冰(檸檬),16
8,冷凍食品_冰品_各式冰品_冰棒,MR.COOL金點蘇打雪糕-70gx5,80
8,冷凍食品_冰品_各式冰品_冰棒,杜老爺情人果脆冰棒,92
8,冷凍食品_冰品_各式冰品_冰棒,義美芒果冰棒-87.50gx5,79
8,冷凍食品_冰品_各式冰品_冰棒,小美紅豆粉粿-80gx5,72
8,冷凍食品_冰品_各式冰品_冰棒,百吉棒棒冰(蘇打),16
8,冷凍食品_冰品_各式冰品_冰棒,百吉棒棒冰(乳酸),16
8,冷凍食品_冰品_各式冰品_冰棒,雅方古早味清冰冰棒-70gx5,46
8,冷凍食品_冰品_各式冰品_冰棒,義美鳳梨牛奶冰棒-87gx5,79
8,冷凍食品_冰品_各式冰品_冰棒,杜老爺關廟鳳梨脆冰棒5入,99
8,冷凍食品_冰品_各式冰品_冰棒,雅方古早味梅子冰棒-70gx5,42
8,冷凍食品_冰品_各式冰品_冰棒,雅方古早味檸檬愛玉冰棒-75gx5,46
8,冷凍食品_冰品_各式冰品_冰棒,杜老爺曠世奇派-卡布奇諾口味-71gx4,115
8,冷凍食品_冰品_各式冰品_冰棒,嘎哩嘎哩君冰棒-葡萄柚風味-110ml,39
8,冷凍食品_冰品_各式冰品_冰棒,雅方古早味芒果冰棒-70gx5,46
8,冷凍食品_冰品_各式冰品_冰棒,雅方古早味紅豆冰棒-70gx5,46
8,冷凍食品_冰品_各式冰品_冰棒,杜老爺曠世奇派-草莓-73gx4,115
8,冷凍食品_冰品_各式冰品_冰棒,百吉冰沁蘇打,100
8,冷凍食品_冰品_各式冰品_冰棒,日本Calpis冰棒-43mlx10,139
8,冷凍食品_冰品_各式冰品_冰棒,雙葉冰棒-紅豆牛奶-70gx5,52
8,冷凍食品_冰品_各式冰品_冰棒,雙葉冰棒-紅豆粉粿-67gx5,52
8,冷凍食品_冰品_各式冰品_冰棒,雙葉冰棒-椰奶香芋-70gx5,52
8,冷凍食品_冰品_各式冰品_冰棒,kiki冬瓜椒麻脆冰棒-60gx4,139
9,冷凍食品_冰品_各式冰品_冰淇淋,小美杯裝冰淇淋-85gx8,111
9,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 草莓冰淇淋,285
9,冷凍食品_冰品_各式冰品_冰淇淋,杜老爺特級瑞巧冰淇淋,120
9,冷凍食品_冰品_各式冰品_冰淇淋,杜老爺特級巧克力冰淇淋-480g,120
9,冷凍食品_冰品_各式冰品_冰淇淋,哈根達斯 冰淇淋品脫 抹茶 473ml,286
9,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 巧克力冰淇淋,285
9,冷凍食品_冰品_各式冰品_冰淇淋,Haagen-Dazs哈根達斯草莓迷你杯冰淇淋,90
9,冷凍食品_冰品_各式冰品_冰淇淋,杜老爺超級冰淇淋-蘭姆葡萄,170
9,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-薄荷巧克力口味-500g,99
9,冷凍食品_冰品_各式冰品_冰淇淋,杜老爺特級香草冰淇淋,120
9,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 夏威夷果仁冰淇淋,286
9,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 淇淋巧酥冰淇淋,285
9,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-香檳葡萄-500g,99
9,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-瑞士巧克力-500g,99
9,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-巧克力-500g,99
9,冷凍食品_冰品_各式冰品_冰淇淋,Haagen Dazs 藍姆葡萄冰淇淋,286
9,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-芋頭-500g,99
9,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-香草-500g,99
9,冷凍食品_冰品_各式冰品_冰淇淋,百吉喜客冰淇淋黑糖珍珠奶茶-545g,119
9,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-草莓-500g,99
9,冷凍食品_冰品_各式冰品_冰淇淋,雅方瑪克冰淇淋-芒果-500g,99
