category_name,product_name,unit_price
飲料零食_休閒零食_洋芋片．薯條_其它口味,好麗友ORION預感香烤洋芋片(起司)64g,69
飲料零食_精選餅乾_甜餅乾_夾心餅乾,韓國樂天BINCH 巧克力餅乾-204g,139
生鮮食品_人氣熟食_中式熟食_炒類,[限時限量供應]炸棒腿便當,68
米油沖泡_咖啡．茶包_咖啡_咖啡粉/咖啡豆,摩卡極致烘焙豆,348
美妝護理_個人清潔_沐浴用品_沐浴乳,沙威隆抗菌潔淨沐浴乳茶樹精油,149
日用百貨_家庭清潔_居家清潔_除濕劑,家樂福除濕桶補充包- 紫羅蘭香,84
生鮮食品_海鮮水產_家樂福海鮮．產銷履歷_家樂福海鮮,"家樂福大比目魚切片(每包淨重約160g,1片/包)",125
生鮮食品_烘焙食品_西點．蛋糕．麵包_點心,現烤漢式Q餅禮盒8入,328
美妝護理_個人清潔_洗髮保養_護髮乳,朵蔓頭皮淨化噴霧,399
飲料零食_精選餅乾_鹹餅乾_點心零食,歐邁福麵包餅乾香蒜奶油口味-300g,258
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,馬玉山紫山藥黑豆漿 30克x12,89
生鮮食品_冷藏食品_調理食品_沙拉．味噌．泡菜．醬料,[限量]CJ Bibigo切片泡菜500公克,249
生鮮食品_人氣熟食_加工製品_素食,盒裝黃金角螺100g,58
生活休閒_寵物用品_狗_狗乾糧．罐頭,葛莉思犬罐-牛肉口味 400g,37
飲料零食_茶飲．咖啡．水_茶飲_綠茶,光泉冷泡茶三京綠茶無糖-585mlx24,588
米油沖泡_咖啡．茶包_咖啡_即溶咖啡,UCC 117 即溶咖啡,225
美妝護理_女性衛生_衛生棉_夜用,康乃馨夜用特長超薄蝶型(14片x4包),176
飲料零食_精選餅乾_鹹餅乾_蘇打餅乾,明治燕麥蘇打餅乾-26gx4,49
生活休閒_寵物用品_貓_貓乾糧．罐頭,家樂福超值貓乾糧(鮪魚雞肉)1.5K,105
美妝護理_衛生紙_衛生紙_平版式,情人平版衛生紙-300PCx6包,99
生鮮食品_烘焙食品_西點．蛋糕．麵包_點心,現烤烏豆沙蛋黃酥禮盒12入,418
生鮮食品_肉品．高湯_豬．牛．羊肉_豬肉,家樂福冷凍黑豬里肌烤肉片(每盒約250克),130
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,桂格穀珍堅果多多-杏仁蓮子,90
美妝護理_女性衛生_衛生棉_日用加長,蘇菲極淨肌超薄潔翼日用25cm-16PCx2包,154
飲料零食_茶飲．咖啡．水_茶飲_烏龍茶,悅氏黑烏龍茶-2000mlx8,360
米油沖泡_米．食用油_食用米_米,天生好米履歷鷺巡一等白米2.2kg,233
飲料零食_糖果．巧克力．口香糖_糖果_果凍．羊羹,Jelly.B低卡蒟蒻果凍(蘋果味)150g,59
生鮮食品_冷藏食品_調理食品_沙拉．味噌．泡菜．醬料,宗家府泡菜白菜切塊,329
生活休閒_日用百貨_免洗餐具_烤肉器材(BBQ),【烤肉用品】熱鑽石大方塊火種,12
生鮮食品_烘焙食品_西點．蛋糕．麵包_點心,吳寶春無嫌鳳梨酥禮盒12入,420
